input_array,true_sight_outputs,calculated_outputs,,synaptic_weight,training_iterations,dataset_size,array_size,one_position_rule,seed
[0 0 0 0 0 0 0 0 0],0.0,0.5,,[ -8.57309622  -8.25831431 -17.25034187 -44.83012467 286.34176377  -8.43772921 -45.05473638 -41.13021364  -8.30345553],628000,5400,9,5,945229114
[0 0 0 0 0 0 0 0 1],0.0,0.00024759823049019667
[0 0 0 0 0 0 0 1 0],0.0,1.3720665562436274e-18
[0 0 0 0 0 0 0 1 1],0.0,3.3980538665314706e-22
[0 0 0 0 0 0 1 0 0],0.0,2.7100456490475217e-20
[0 0 0 0 0 0 1 0 1],0.0,6.711686874311925e-24
[0 0 0 0 0 0 1 1 0],0.0,3.7183630009516596e-38
[0 0 0 0 0 0 1 1 1],0.0,9.208881096222655e-42
[0 0 0 0 0 1 0 0 0],0.0,0.00021649443166044102
[0 0 0 0 0 1 0 0 1],0.0,5.3628521043836774e-08
[0 0 0 0 0 1 0 1 0],0.0,2.9710909175822456e-22
[0 0 0 0 0 1 0 1 1],0.0,7.358190413114498e-26
[0 0 0 0 0 1 1 0 0],0.0,5.868368394724343e-24
[0 0 0 0 0 1 1 0 1],0.0,1.4533574791384502e-27
[0 0 0 0 0 1 1 1 0],0.0,8.051792014118374e-42
[0 0 0 0 0 1 1 1 1],0.0,1.9941031913923992e-45
[0 0 0 0 1 0 0 0 0],1.0,1.0
[0 0 0 0 1 0 0 0 1],1.0,1.0
[0 0 0 0 1 0 0 1 0],1.0,1.0
[0 0 0 0 1 0 0 1 1],1.0,1.0
[0 0 0 0 1 0 1 0 0],1.0,1.0
[0 0 0 0 1 0 1 0 1],1.0,1.0
[0 0 0 0 1 0 1 1 0],1.0,1.0
[0 0 0 0 1 0 1 1 1],1.0,1.0
[0 0 0 0 1 1 0 0 0],1.0,1.0
[0 0 0 0 1 1 0 0 1],1.0,1.0
[0 0 0 0 1 1 0 1 0],1.0,1.0
[0 0 0 0 1 1 0 1 1],1.0,1.0
[0 0 0 0 1 1 1 0 0],1.0,1.0
[0 0 0 0 1 1 1 0 1],1.0,1.0
[0 0 0 0 1 1 1 1 0],1.0,1.0
[0 0 0 0 1 1 1 1 1],1.0,1.0
[0 0 0 1 0 0 0 0 0],0.0,3.392534188317294e-20
[0 0 0 1 0 0 0 0 1],0.0,8.401934923268286e-24
[0 0 0 1 0 0 0 1 0],0.0,4.6547827007032466e-38
[0 0 0 1 0 0 0 1 1],0.0,1.1528013915951621e-41
[0 0 0 1 0 0 1 0 0],0.0,9.193922516294313e-40
[0 0 0 1 0 0 1 0 1],0.0,2.2769627182383642e-43
[0 0 0 1 0 0 1 1 0],0.0,1.2614673605302506e-57
[0 0 0 1 0 0 1 1 1],0.0,3.1241443955084415e-61
[0 0 0 1 0 1 0 0 0],0.0,7.346238029510737e-24
[0 0 0 1 0 1 0 0 1],0.0,1.8193660086710117e-27
[0 0 0 1 0 1 0 1 0],0.0,1.0079527514496697e-41
[0 0 0 1 0 1 0 1 1],0.0,2.4962912540639133e-45
[0 0 0 1 0 1 1 0 0],0.0,1.9908640408742867e-43
[0 0 0 1 0 1 1 0 1],0.0,4.93056493582376e-47
[0 0 0 1 0 1 1 1 0],0.0,2.7315979685116938e-61
[0 0 0 1 0 1 1 1 1],0.0,6.765063251831482e-65
[0 0 0 1 1 0 0 0 0],1.0,1.0
[0 0 0 1 1 0 0 0 1],1.0,1.0
[0 0 0 1 1 0 0 1 0],1.0,1.0
[0 0 0 1 1 0 0 1 1],1.0,1.0
[0 0 0 1 1 0 1 0 0],1.0,1.0
[0 0 0 1 1 0 1 0 1],1.0,1.0
[0 0 0 1 1 0 1 1 0],1.0,1.0
[0 0 0 1 1 0 1 1 1],1.0,1.0
[0 0 0 1 1 1 0 0 0],1.0,1.0
[0 0 0 1 1 1 0 0 1],1.0,1.0
[0 0 0 1 1 1 0 1 0],1.0,1.0
[0 0 0 1 1 1 0 1 1],1.0,1.0
[0 0 0 1 1 1 1 0 0],1.0,1.0
[0 0 0 1 1 1 1 0 1],1.0,1.0
[0 0 0 1 1 1 1 1 0],1.0,1.0
[0 0 0 1 1 1 1 1 1],1.0,1.0
[0 0 1 0 0 0 0 0 0],0.0,3.223084560427845e-08
[0 0 1 0 0 0 0 0 1],0.0,7.982276993629104e-12
[0 0 1 0 0 0 0 1 0],0.0,4.422286675842263e-26
[0 0 1 0 0 0 0 1 1],0.0,1.0952215305718769e-29
[0 0 1 0 0 0 1 0 0],0.0,8.734706571026673e-28
[0 0 1 0 0 0 1 0 1],0.0,2.163233503624921e-31
[0 0 1 0 0 0 1 1 0],0.0,1.1984598764707153e-45
